                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.67328,                 1.2735,                0.11452,                 0.2007,                0.42858,                0.76311,                0.84516,                0.86104,                0.75944,                0.76388,                0.83526,                0.84659,                0.65398,                0.73777,                 1.2678,                0.08739,                0.25867,                 0.4481,              0.0014777,              0.0014777,              0.0014777
                     88,                0.67168,                 1.2622,                0.11335,                0.20104,                 0.4282,                0.76452,                0.84402,                0.86091,                0.75959,                 0.7644,                0.83447,                0.84629,                0.65395,                0.73762,                 1.2673,                0.08721,                0.25848,                0.44804,              0.0013786,              0.0013786,              0.0013786
                     89,                  0.671,                 1.2578,                0.11358,                0.20108,                0.42873,                0.76393,                 0.8458,                0.86096,                0.75965,                 0.7653,                0.83424,                 0.8466,                0.65409,                0.73749,                 1.2668,                0.08706,                0.25827,                0.44802,              0.0012796,              0.0012796,              0.0012796
                     90,                0.66844,                 1.2607,                0.11393,                0.19958,                0.42804,                0.76361,                0.84649,                0.86095,                0.75964,                0.76544,                0.83413,                0.84672,                0.65422,                0.73751,                 1.2661,                0.08688,                0.25793,                0.44803,              0.0011805,              0.0011805,              0.0011805
                     91,                 0.6178,                0.95141,                0.07184,                0.18115,                0.41426,                 0.7642,                0.84558,                0.86138,                0.75982,                0.76609,                0.83379,                0.84682,                0.65432,                0.73748,                 1.2658,                0.08678,                0.25759,                0.44802,              0.0010814,              0.0010814,              0.0010814
                     92,                0.61134,                0.93665,                0.07137,                0.17809,                0.41317,                 0.7643,                0.84629,                0.86122,                 0.7598,                0.76656,                0.83413,                0.84681,                0.65453,                0.73728,                 1.2651,                0.08663,                0.25734,                0.44799,             0.00098226,             0.00098226,             0.00098226
                     93,                0.60607,                0.92199,                0.06985,                0.17619,                0.41267,                0.76535,                0.84607,                0.86163,                0.76016,                0.76571,                0.83526,                0.84732,                0.65499,                0.73702,                 1.2652,                0.08648,                0.25676,                0.44795,             0.00088317,             0.00088317,             0.00088317
                     94,                0.60295,                0.92071,                0.06981,                0.17502,                 0.4117,                0.76521,                0.84626,                0.86198,                0.76052,                0.76529,                0.83628,                0.84756,                0.65546,                0.73683,                 1.2648,                0.08633,                0.25606,                0.44792,             0.00078407,             0.00078407,             0.00078407
                     95,                0.60134,                0.91598,                0.07062,                0.17392,                 0.4116,                0.76458,                0.84732,                0.86212,                0.76073,                0.76516,                 0.8364,                0.84769,                0.65585,                0.73647,                 1.2644,                0.08616,                 0.2556,                0.44787,             0.00068498,             0.00068498,             0.00068498
                     96,                0.60015,                0.91299,                0.07034,                0.17371,                0.41171,                0.76561,                0.84732,                0.86251,                0.76106,                 0.7641,                0.83777,                0.84806,                 0.6562,                0.73644,                 1.2641,                0.08603,                0.25504,                0.44785,             0.00058588,             0.00058588,             0.00058588
